system,coder,loop_status,Vsyntax,Vsemantic,Vempirical,Vhuman,Vcalibrated,Vcompleteness,H
agent_laboratory,agy,partial-task,1,1,0,1,0,1,0.5
ai_coscientist_google,agy,partial-task,0,1,0,1,0,0,0.33
ai_researcher,agy,partial-analysis,1,1,1,0,0,2,0
ai_scientist_2024,agy,closed-comp,1,1,1,0,0,2,0
ai_scientist_2026,agy,closed-comp,1,1,1,0,0,2,0
ai_scientist_v2,agy,closed-comp,1,1,1,0,1,2,0.1
autoresearchclaw,agy,closed-comp,1,1,1,0,1,2,0
coscientist,agy,partial-task,1,0,1,1,1,2,0.33
deepscientist,agy,closed-comp,1,1,1,1,1,2,0
era,agy,closed-comp,1,0,1,0,1,2,0
novelseek,agy,closed-comp,1,0,1,0,1,2,0
robin,agy,closed-wetlab,1,1,1,1,1,2,0.3
robot_scientist,agy,closed-wetlab,0,0,1,1,1,1,0.0
scientistone,agy,closed-comp,1,1,1,0,1,2,0
agent_laboratory,claude,partial-task,1,1,1,1,0,2,0.6
ai_coscientist_google,claude,closed-comp,0,1,0,1,0,0,0.33
ai_researcher,claude,partial-task,1,1,1,0,0,2,0.1
ai_scientist_2024,claude,closed-comp,1,1,0,0,0,1,0.1
ai_scientist_2026,claude,closed-comp,1,1,1,0,0,2,0.1
ai_scientist_v2,claude,closed-comp,1,1,1,0,0,2,0.2
autoresearchclaw,claude,closed-comp,1,1,1,0,1,2,0.1
coscientist,claude,partial-task,1,0,1,1,1,2,0.33
deepscientist,claude,closed-comp,1,1,1,1,0,2,0.25
era,claude,closed-comp,1,0,1,0,1,2,0.1
novelseek,claude,closed-comp,1,0,1,0,1,2,0.1
robin,claude,closed-wetlab,1,1,1,0,1,2,0.3
robot_scientist,claude,closed-wetlab,0,0,1,0,1,1,0.1
scientistone,claude,closed-comp,1,1,1,0,1,2,0.1
agent_laboratory,codex,partial-task,1,1,1,1,0,1,0.6
ai_coscientist_google,codex,partial-task,0,1,0,1,0,0,0.4
ai_researcher,codex,partial-task,1,1,1,0,0,2,0
ai_scientist_2024,codex,closed-comp,1,1,1,0,0,2,0
ai_scientist_2026,codex,closed-comp,0,1,1,1,0,1,0.33
ai_scientist_v2,codex,closed-comp,1,1,1,1,1,3,0.35
autoresearchclaw,codex,closed-comp,1,1,1,0,1,2,0.1
coscientist,codex,partial-task,1,0,1,1,1,2,0.33
deepscientist,codex,closed-comp,1,1,1,1,1,2,0.33
era,codex,closed-comp,1,0,1,0,1,2,0
robin,codex,partial-analysis,0,1,1,1,1,1,0.35
robot_scientist,codex,closed-wetlab,0,0,1,1,1,1,0.33
scientistone,codex,closed-comp,1,1,1,0,1,3,0
