schema_version,witness_id,case_id,configuration_id,task_regime_id,predicate,ordered_event_ids,ordered_edge_ids,ordered_endpoint_ids,evidence_ids,predicate_status,execution_status,uncertainty
2.0.0,W01,C01,reported-demonstration,six-chemistry-tasks,execution_repair,EV01@t;EV01@t+1,ED01;ED02,C01.V;C01.W_A;C01.E,R01-E03,established,trace_demonstrated,repeated event type denotes before and after execution attempts
2.0.0,W02,C02,reported-default,up-to-five-computational-experiments,experimental_adaptation,EV05@t;EV05@t+1,ED06;ED07;ED08,C02.V;C02.M;C02.pi;C02.E,R02-E02,established,implemented_reported,source explicitly states conditional replanning and implementation
2.0.0,W04,C04,autonomous-mode,human-provided-idea-computational-ml,execution_repair,EV14@t;EV14@t+1,ED17;ED18,C04.V;C04.W_A;C04.E,R04-E02;R04-E03,established,implemented_reported,compile failure drives next-iteration repair
2.0.0,W06,C04,autonomous-mode,human-provided-idea-computational-ml,artifact_revision,EV15@t;EV15@t+1,ED19;ED20,C04.V;C04.pi;C04.W_A,R04-E04,established,implemented_reported,revisions can revisit planning; experimentation; interpretation; or report
2.0.0,W08,C05,adam-yeast,yeast-functional-genomics,experimental_adaptation,EV34@t;EV17@t;EV34@t+1;EV17@t+1,ED37;ED22;ED23;ED24;ED38,C05.E;C05.V;C05.M;C05.pi;C05.E;C05.V,R05-E01;R05-E02;R05-E03;R05-E08,established,implemented_reported,physical execution produces evidence; analysis updates the system model; experiment design selects and executes a later test
2.0.0,W09,C05,adam-yeast,yeast-functional-genomics,discovery_cycle_feedback,EV34@t;EV17@t;EV34@t+1;EV17@t+1,ED37;ED22;ED23;ED24;ED38,C05.E;C05.V;C05.M;C05.pi;C05.E;C05.V,R05-E01;R05-E02;R05-E03;R05-E08,established,implemented_reported,distinct execution; evidence routing; model update; experiment-design action; new execution; and new-evidence routing roles are directly supported
2.0.0,W10,C06,reported-multi-agent,twelve-computational-tasks,execution_repair,EV21@t;EV21@t+1,ED28;ED29,C06.V;C06.W_A;C06.E,R14-E04,established,implemented_reported,retry is counted only for execution repair
2.0.0,W11,C06,reported-multi-agent,twelve-computational-tasks,experimental_adaptation,EV22@t;EV22@t+1,ED30;ED31;ED32;ED33,C06.V;C06.M;C06.pi;C06.W_A;C06.E,R14-E05;R14-E07;R14-E08,established,implemented_reported,task-performance results guide following experiments but are not promoted to a discovery-cycle epistemic update
2.0.0,W12,C06,reported-multi-agent,twelve-computational-tasks,artifact_revision,EV21@t;EV21@t+1,ED28,C06.V;C06.W_A,R14-E04,established,implemented_reported,debugging produces a successor code artifact
2.0.0,W14,C06,reported-multi-agent,twelve-computational-tasks,human_mediated_feedback,EV20@t,ED27,C06.external;C06.W_A,R14-E03,established,implemented_reported,human-provided feedback is reported as an available implemented channel; invocation frequency is not reported
2.0.0,W15,C01,reported-demonstration,six-chemistry-tasks,artifact_revision,EV01@t;EV01@t+1,ED01,C01.V;C01.W_A,R01-E03,established,trace_demonstrated,failed protocol artifact is revised from version v1 to successor version v2
